,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,E_Dis,Polarizability
KRR
Best_Train,-1.3167840268001354,0.4464976955563348,-0.12401273483760689,-3.351476848758671,-7.940339286395998,-5.879190853513453,-4.480357849054633,-1.931757538798621,-0.21651922819764655
Best_Test,0.44338485298955077,0.9713798985682867,-0.04210589552849431,0.2436078914566796,0.015176776758882182,0.006337468437605187,0.003516826490573166,-0.0226014346687895,0.9624860569067775
